2014-07-24 15:08:27 [main:0] - [DEBUG] Created connection 536150103.
2014-07-24 15:08:27 [main:15] - [DEBUG] {conn-100000} Connection
2014-07-24 15:08:27 [main:17] - [DEBUG] {conn-100000} Preparing Statement:   SELECT JO.TK_HIN ,JO.SYUYO_SU ,JO.ZAIKO_SU ,JO.LOC_ZAIKO_SU  ,JO.HIKI_ZAIKO_SU  ,JO.SEBAN ,JO.LST_NOU_YMD,JO.LST_HAN_YMD  ,(NVL(NOU.SUM_SIJI_SU,0) - NVL(NOU.SUM_HIKI_SU,0)) AS FUSOKU_SU  ,M01.KANRI_KOJO ,M01.S_KYOTEN ,M01.SEIZO_BA ,M01.LOCATION  ,M01.HAKO_SYU ,M01.TK_UKE ,M01.TK_SEBAN  ,NVL(RI.SIJI_SU,0) AS HAN_SU  FROM TB_ZAIKO_JO JO  ,TB_HINBAN_MA M01  ,(SELECT TK_HIN,SYUYO_SU,SUM(SIJI_SU) AS SUM_SIJI_SU ,SUM(HIKI_SU) AS  SUM_HIKI_SU  FROM TB_NOUHIN_JO GROUP BY TK_HIN ,SYUYO_SU  ) NOU ,(SELECT TK_HIN ,SYUYO_SU ,SUM(SIJI_SU) AS SIJI_SU  FROM TB_HANNYU_RI  GROUP BY TK_HIN ,SYUYO_SU  ) RI  WHERE   JO.TK_HIN = M01.TK_HIN  AND JO.SYUYO_SU = M01.SYUYO_SU  AND JO.TK_HIN = NOU.TK_HIN(+)  AND JO.SYUYO_SU = NOU.SYUYO_SU(+)  AND JO.TK_HIN = RI.TK_HIN(+)  AND JO.SYUYO_SU = RI.SYUYO_SU(+)  ORDER BY JO.TK_HIN ,JO.SYUYO_SU   
2014-07-24 15:08:27 [main:149] - [DEBUG] {pstm-100001} Executing Statement:   SELECT JO.TK_HIN ,JO.SYUYO_SU ,JO.ZAIKO_SU ,JO.LOC_ZAIKO_SU  ,JO.HIKI_ZAIKO_SU  ,JO.SEBAN ,JO.LST_NOU_YMD,JO.LST_HAN_YMD  ,(NVL(NOU.SUM_SIJI_SU,0) - NVL(NOU.SUM_HIKI_SU,0)) AS FUSOKU_SU  ,M01.KANRI_KOJO ,M01.S_KYOTEN ,M01.SEIZO_BA ,M01.LOCATION  ,M01.HAKO_SYU ,M01.TK_UKE ,M01.TK_SEBAN  ,NVL(RI.SIJI_SU,0) AS HAN_SU  FROM TB_ZAIKO_JO JO  ,TB_HINBAN_MA M01  ,(SELECT TK_HIN,SYUYO_SU,SUM(SIJI_SU) AS SUM_SIJI_SU ,SUM(HIKI_SU) AS  SUM_HIKI_SU  FROM TB_NOUHIN_JO GROUP BY TK_HIN ,SYUYO_SU  ) NOU ,(SELECT TK_HIN ,SYUYO_SU ,SUM(SIJI_SU) AS SIJI_SU  FROM TB_HANNYU_RI  GROUP BY TK_HIN ,SYUYO_SU  ) RI  WHERE   JO.TK_HIN = M01.TK_HIN  AND JO.SYUYO_SU = M01.SYUYO_SU  AND JO.TK_HIN = NOU.TK_HIN(+)  AND JO.SYUYO_SU = NOU.SYUYO_SU(+)  AND JO.TK_HIN = RI.TK_HIN(+)  AND JO.SYUYO_SU = RI.SYUYO_SU(+)  ORDER BY JO.TK_HIN ,JO.SYUYO_SU   
2014-07-24 15:08:27 [main:150] - [DEBUG] {pstm-100001} Parameters: []
2014-07-24 15:08:27 [main:150] - [DEBUG] {pstm-100001} Types: []
2014-07-24 15:08:28 [main:683] - [DEBUG] {rset-100002} ResultSet
2014-07-24 15:08:28 [main:703] - [DEBUG] {rset-100002} Header: [TK_UKE, TK_SEBAN, TK_HIN, SYUYO_SU, ZAIKO_SU, LOC_ZAIKO_SU, HIKI_ZAIKO_SU, FUSOKU_SU, KANRI_KOJO, S_KYOTEN, SEIZO_BA, SEBAN, HAN_SU, LOCATION, LST_NOU_YMD, LST_HAN_YMD]
2014-07-24 15:08:28 [main:764] - [DEBUG] {rset-100002} Result: [W1   , 0006, 5202360070               , 10, 20, 10, 10, 0, 2592, SH1 ,     ,           , 140, W1-0006  , 20140522, 20140520]
2014-07-24 15:08:28 [main:764] - [DEBUG] {rset-100002} Result: [C5   , 0002, 5225530040               , 32, 672, 576, 256, 0, 2592, SH1 ,     , KC5002    , 4640, C5-0002  , 20140523, 20140523]
2014-07-24 15:08:28 [main:764] - [DEBUG] {rset-100002} Result: [C5   , 0003, 5225530050               , 5, 1315, 1145, 795, 0, 2592, SH1 ,     , KC5003    , 9150, C5-0003  , 20140523, 20140523]
2014-07-24 15:08:28 [main:772] - [DEBUG] {rset-100002} Result: [C5   , 0517, 5261130410               , 18, 288, 270, 90, 0, 2592, 0870,     , MC517     , 2250, C5-0517  , 20140523, 20140522]
2014-07-24 15:08:28 [main:772] - [DEBUG] {rset-100002} Result: [C5   , 0518, 5261130420               , 18, 108, 90, -54, 54, 2592, F999,     , MC518     , 1476, C5-0518  , 20140523, 20140523]
2014-07-24 15:08:28 [main:773] - [DEBUG] {rset-100002} Result: [W1   , 0512, 5261135040               , 45, 810, 765, 90, 0, 2592, 0870,     , MW512     , 8586, W1-0512  , 20140523, 20140523]
2014-07-24 15:08:28 [main:773] - [DEBUG] {rset-100002} Result: [C5   , 0515, 5261153070               , 6, 12, 12, 12, 0, 2592, 0870,     , MN515     , 0, C5-0515  , 20140506, 20140331]
2014-07-24 15:08:28 [main:773] - [DEBUG] {rset-100002} Result: [C5   , 0516, 5261153080               , 6, 30, 30, 24, 0, 2592, 0870,     , MN516     , 0, C5-0516  , 20140506, 20140327]
2014-07-24 15:08:28 [main:774] - [DEBUG] {rset-100002} Result: [W1   , 0025, 5261160090               , 12, 336, 300, -72, 72, 2592, 0870,     , YY050     , 4896, W1-0025  , 20140523, 20140523]
2014-07-24 15:08:28 [main:774] - [DEBUG] {rset-100002} Result: [C5   , 0512, 5261530291               , 23, 345, 322, 138, 0, 2592, 0870,     , MN512     , 2208, C5-0512  , 20140523, 20140522]
2014-07-24 15:08:28 [main:774] - [DEBUG] {rset-100002} Result: [C5   , 0513, 5261530301               , 24, 264, 240, 96, 0, 2592, 0870,     , MC513     , 1560, C5-0513  , 20140523, 20140522]
2014-07-24 15:08:28 [main:775] - [DEBUG] {rset-100002} Result: [W1   , 0518, 5261535050               , 30, 630, 540, -120, 120, 2592, 0870,     , MW518     , 8670, W1-0518  , 20140523, 20140523]
2014-07-24 15:08:28 [main:775] - [DEBUG] {rset-100002} Result: [C5   , 0509, 5261553110               , 14, 42, 42, 42, 0, 2592, 0870,     , MC509     , 0, C5-0509  , 20140514, 20140303]
2014-07-24 15:08:28 [main:784] - [DEBUG] {rset-100002} Result: [C5   , 0001, 5261553130               , 21, 336, 252, -315, 315, 2592, F999,     , MC001     , 6825, C5-0001  , 20140523, 20140523]
2014-07-24 15:08:28 [main:785] - [DEBUG] {rset-100002} Result: [C5   , 0002, 5261553150               , 18, 144, 126, 36, 0, 2592, 0870,     , MC002     , 1008, C5-0002  , 20140523, 20140523]
2014-07-24 15:08:28 [main:785] - [DEBUG] {rset-100002} Result: [E1   , 0504, 5261560050               , 36, 540, 396, 108, 0, 2592, 0870,     , HH403     , 6840, E1-0504  , 20140523, 20140522]
2014-07-24 15:08:28 [main:786] - [DEBUG] {rset-100002} Result: [E1   , 0505, 5261560060               , 24, 264, 192, 48, 0, 2592, 0870,     , ME505     , 3480, E1-0505  , 20140523, 20140523]
2014-07-24 15:08:28 [main:787] - [DEBUG] {rset-100002} Result: [N4   , 0022, 5330660120               , 50, 450, 300, -50, 50, 2592, SH1 ,     , KW8022    , 9000, N4-0022  , 20140523, 20140523]
